,J,Params
0,1.0,"[0.004, 10.0]"
1,1.0320485052979202,"[0.00471363872612198, 10.243222928618314]"
2,1.0687013696005148,"[0.005894841085754262, 11.037224198017995]"
3,1.0596993717415077,"[0.005688374210926089, 12.331005973287244]"
4,1.005701204282064,"[0.004311559861674519, 12.659337581570163]"
5,1.0905969283137773,"[0.006907277563475952, 13.321902210002916]"
6,1.116318307316416,"[0.008499471231833911, 13.159465482596055]"
7,1.0801707898032529,"[0.006534341469433448, 14.681068999429794]"
8,1.106661359237662,"[0.007795642399522688, 15.89255809577411]"
9,0.968907470742985,"[0.004, 14.422523962518248]"
10,1.121452280448069,"[0.008836536365749997, 17.35182028602186]"
11,1.050904980406732,"[0.0057199966448763535, 16.81940825191476]"
12,1.0335856249118256,"[0.005538462204342885, 18.655204981979296]"
13,0.957129129941103,"[0.004212630650445539, 17.718612648058855]"
14,1.1099039777571966,"[0.008525832080420839, 19.967438996570333]"
15,1.102113013579899,"[0.008571532082976408, 22.037529676330877]"
16,1.0561063958145502,"[0.0065932452801559585, 21.834168020245762]"
17,1.0559377822779064,"[0.006827563076092642, 23.275307932381686]"
18,1.0243329922701796,"[0.006144573625896386, 24.123101006807964]"
19,0.9232421823252253,"[0.004, 19.4218386280275]"
20,0.9812353090420192,"[0.0054379915979258335, 25.22389888589121]"
21,1.106563083123116,"[0.009249266670312426, 23.968648537182204]"
22,1.1351448649100182,"[0.010292573763155002, 18.702177964443685]"
23,1.1395561789633364,"[0.011402399650743408, 22.15345797136117]"
24,0.9067560658115085,"[0.004, 21.005548258674917]"
25,1.0873557332149788,"[0.008571532082976407, 26.094721434450694]"
26,1.1432281282372179,"[0.011623022060186852, 17.537098387444193]"
27,1.1521440037612145,"[0.013104791817703602, 17.370714512191185]"
28,1.1431371355765148,"[0.012438531032624468, 24.297787238396744]"
29,1.1517599148784397,"[0.013592828143798266, 21.089860907955398]"
30,1.0805809312716212,"[0.008571532082976407, 28.08811143552608]"
31,1.119770326701561,"[0.010780203982689297, 27.438256263005417]"
32,1.130530173286297,"[0.011961697980995351, 28.92414972030086]"
33,1.0737139219381895,"[0.008571532082976407, 30.077809117214503]"
34,1.000813195601649,"[0.004, 8.720421916377305]"
35,1.127781641757809,"[0.010780203982689297, 24.715931866614724]"
36,1.1436155738591458,"[0.011931657538945675, 19.515336367037282]"
37,1.0934164611936228,"[0.0074043125614708175, 18.176749266229844]"
38,1.1188738413551094,"[0.008571532082976407, 15.033218972562064]"
39,0.9579423451313609,"[0.004, 15.889142541946669]"
40,1.0085757618873434,"[0.005452336826138393, 21.867982438226765]"
41,0.8887294754244315,"[0.00399209088237704, 22.614083086649764]"
42,0.8770348470893983,"[0.00399209088237704, 23.586707907705225]"
43,0.8650308316783515,"[0.004, 24.627428666543505]"
44,1.1389480872330249,"[0.010780203982689298, 17.245314255129895]"
45,1.064554242617038,"[0.008571532082976407, 31.573145468961066]"
46,1.031526082122147,"[0.0074043125614708175, 31.28270498549451]"
47,1.1103978438089979,"[0.010780203982689297, 30.411458907655845]"
48,1.1005583421514433,"[0.010780203982689297, 32.67919755977923]"
49,1.0610620570096476,"[0.009079418759827831, 34.24370921542013]"
50,1.0139400385768835,"[0.007698419414553712, 34.80651091137446]"
51,0.9669238218160447,"[0.0054379915979258335, 27.308208815244967]"
52,1.1583646130305163,"[0.015058224579378193, 21.35845813573561]"
53,0.9488542976701102,"[0.0054379915979258335, 29.406833510849882]"
54,1.154524763653417,"[0.014802360808271298, 24.764501157645107]"
55,1.16229888200662,"[0.01626549132472998, 23.003508938819284]"
