,J,Params
0,1.0,"[0.004, 10.0]"
1,1.011768946729209,"[0.004234491465838824, 10.04258470156561]"
2,1.0126992469018417,"[0.004272091604331929, 10.181037383318634]"
3,1.028726576641589,"[0.004623226090893719, 10.074457388556368]"
4,1.03314086138333,"[0.004741029415162812, 10.309776102740955]"
5,1.0023952372483094,"[0.004057659084759494, 10.359239135026632]"
6,1.0305822361014916,"[0.004690048162439604, 10.539779066517772]"
7,1.0475008168587059,"[0.005151807165333146, 10.557297866688135]"
8,1.0494689614628425,"[0.005220027914132291, 10.085985308652871]"
9,1.0468723268668387,"[0.005151807165333146, 10.78336234938601]"
10,0.9987160152504021,"[0.004, 10.612595766373367]"
11,1.0236468320420087,"[0.0045456861562103035, 10.870203081732699]"
12,1.0005680542646145,"[0.004, 9.805873023404953]"
13,1.0006480727877536,"[0.004, 9.624975662283573]"
14,1.0414394984480457,"[0.004995871730860175, 9.782049741907217]"
15,1.0485349213789732,"[0.005216103618312541, 9.59031300311022]"
16,1.0066649211565049,"[0.004114071146081205, 9.405811545823203]"
17,1.0412210744227035,"[0.004995871730860175, 11.06689231785981]"
18,0.9989737566610041,"[0.004031592985949981, 10.93069552597626]"
19,1.0610831496379698,"[0.005619116378206653, 10.871309411088207]"
20,1.0039787568105678,"[0.004068345566214637, 9.219123482524557]"
21,1.000650273947259,"[0.004, 9.031716606297127]"
22,0.9959427736818036,"[0.004, 11.131182643113021]"
23,1.041106918512478,"[0.005017170002441984, 11.296747052670376]"
24,1.0263028500449305,"[0.004593020963556232, 9.150592927189367]"
25,1.0380944680545967,"[0.004919309946727776, 8.991845307670784]"
26,1.0161451227186151,"[0.004347979131512364, 8.860004725929109]"
27,0.9950793849354442,"[0.004, 11.294632875161927]"
28,1.0008308531038448,"[0.004, 8.748645923543801]"
29,0.9938344573471639,"[0.004, 11.452550168863366]"
30,1.0427496257074156,"[0.005080639814767559, 11.531758954477759]"
31,1.0106863384326645,"[0.004310740265882642, 11.68086507282251]"
32,1.0060948718911036,"[0.004115414610469475, 8.561818626166177]"
33,1.004471984782123,"[0.004084395062693064, 8.428270979862127]"
34,0.993534475205356,"[0.00402168799490416, 11.665486352304047]"
35,1.0574332687097827,"[0.005488116908700294, 9.10774045336142]"
36,1.0411218223144092,"[0.004995871730860175, 8.720855591047272]"
37,1.0156250046218154,"[0.004313688317354543, 8.26440065127574]"
38,1.0161691502526544,"[0.004313688317354543, 8.093667858662585]"
39,1.0123385293967775,"[0.004213661960403252, 7.913168286958431]"
40,1.003292990709484,"[0.004, 7.764232260808639]"
41,1.0487287384134398,"[0.005200539311406354, 8.5739823419543]"
42,1.0010275745418347,"[0.003936725680852678, 7.597998788867643]"
43,1.0173710761110495,"[0.00428200612306553, 7.590008500551473]"
44,1.0613155805583243,"[0.005612071918831133, 10.438473679927476]"
45,1.0221097664428807,"[0.004381895375375346, 7.457475759939705]"
46,0.9832564391907221,"[0.00367971895773315, 9.566866897362841]"
47,0.9617397573966124,"[0.003372410374809497, 9.483375944913622]"
48,0.9622544878431659,"[0.003372410374809497, 9.183262750534368]"
49,1.0107505653893902,"[0.004096347062266643, 7.36117418715371]"
50,1.0076378304983729,"[0.004, 7.190702540216851]"
51,1.0123166152585397,"[0.004068345566214637, 6.994333672956785]"
52,0.9826854162049922,"[0.0035657056287950392, 7.378844959909346]"
53,0.9855311435317708,"[0.0035657056287950392, 7.03195031883969]"
54,0.9858411859065379,"[0.0035657056287950392, 6.841156882719273]"
55,1.0133655913614326,"[0.004068345566214637, 6.760118207106879]"
